Nr,Siedziba,Typ,,Granice obwodu głosowania
88,"Gimnazjum Nr 14, Kraków Czerwieńskiego 16",Powszechny,Nie,"Podkowińskiego, Radzikowskiego Eljasza parzyste od 68 do 144 i nieparzyste od 17 do 95"
89,"Gimnazjum Nr 14, Kraków Czerwieńskiego 16",Powszechny,Nie,"Gnieźnieńska parzyste od 18 b do 26, Jaremy 12, 14, 14a, 14b, Pużaka 27, 29, Zygmuntowska parzyste od 22 i nieparzyste od 25"
90,"Szkoła Podstawowa Nr 119, Kraków Czerwieńskiego 1",Powszechny,Nie,"Pużaka parzyste od 2 do 8 i nieparzyste od 3 do 25, Radzikowskiego 66"
91,"Szkoła Podstawowa Nr 119, Kraków Czerwieńskiego 1",Powszechny,Nie,"Brzoskwiniowa, Czerwieńskiego, Conrada, Fiszera, Jaremy nieparzyste od 21 do 25 i 41b, Słowicza, Wilcza"
92,"Przedszkole Samorządowe Nr 118, Kraków Modrzejewskiej 21",Powszechny,Nie,Palacha
93,"Szkoła Podstawowa Nr 113, Kraków Stachiewicza 33",Powszechny,Nie,"Makowskiego 1, 5, 8, 18, Modrzejewskiej parzyste od 16, Stachiewicza 45, 47, 58, 60, Wielkotyrnowska 16, 16a, 39"
94,"Dom Pielęgniarek przy Szpitalu Miejskim im. G. Narutowicza, Kraków Siemaszki 17",Powszechny,Nie,"Księdza Siemaszki parzyste od 4 do 34 i nieparzyste od 13 a do 33, Pielęgniarek 5, 6, 7"
95,Szkoła Podstawowa nr 107 Kraków Zdrowa 6,Powszechny,Nie,"Bratysławska, Doktora Twardego, Lekarska, Prądnicka nieparzyste od 27 do 89 (bez 35/37) i parzyste od 28 do 76, Księdza Siemaszki nieparzyste od 37 do 43 a i parzyste od 38 do 64"
96,"Szkoła Podstawowa Nr 107, Kraków Zdrowa 6",Powszechny,Nie,"Biała, Generała Fieldorfa-Nila, Korczaka, Prądnicka nieparzyste od 95 do 125 i parzyste od 78 do 80a (bez 80), Zdrowa"
97,"Szkoła Podstawowa Nr 107, Kraków Zdrowa 6",Powszechny,Nie,"Bobrzeckiej, Głęboka, Frycza-Modrzewskiego, Jaracza 3,4, 6, 7, 9,10, 11,12,14, 16, 20, 24,28,30,34, Konecznego, Reja, Solskiego, Żabiniec, Żmujdzka parzyste od 18 do 32 i nieparzyste od 25 do 45"
98,"Przedszkole Samorządowe Nr 175, Kraków Siewna 23c",Powszechny,Nie,"Bociana, Jabłonna, Kręta, Nad Strugą 9, Polna, Siewna parzyste od 2 do 20 i nieparzyste od 21 do 23b, Zawodzie"
99,"Gimnazjum Nr 13, Kraków Mackiewicza 15",Powszechny,Nie,"Herwina-Piątka, Górnickiego parzyste od 8 do 26 i nieparzyste od 9 do 35, Lechonia, Pachońskiego 28, 30, 32, 32a, 32b, 34, 69, Rokosza"
100,"Gimnazjum Nr 13, Kraków Mackiewicza 15",Powszechny,Nie,Mackiewicza od 13
101,"Gimnazjum Nr 13, Kraków Mackiewicza 15",Powszechny,Nie,"Bałtycka, Bursztynowa, Grażyny, Imbramowska, Jazowa, Kołaczy, Legnicka, Litawora, Mackiewicza od 1 do 12, Narutowicza, Papiernicza, Syreny, Szafirowa, Turystyczna, Zgody, Żywa"
102,"Szkoła Podstawowa Nr 58, Kraków Zielińska 30",Powszechny,Nie,"Białoprądnicka, Bularnia, Górnickiego 2, 3, 6, Kluzeka (bez 6), Nad Sudołem od 32 do 75 i 98, Pleszowska, Proszowicka, Szopkarzy"
103,"Szkoła Podstawowa Nr 58, Kraków Zielińska 30",Powszechny,Nie,"Glogera, Jarzynowa, Jasna, Kosmonautów, Malinowa, Matki Tajber, Mączna, Pasteura, Piaszczysta, Pigonia, Rybałtowska, Zaremby, Zielińska, Zimorowicza, Żwirowa"
104,"Przedszkole Samorządowe Nr 165, Kraków Danka 1",Powszechny,Nie,"Danka, Grochowiaka, Nad Sudołem od 12 do 30, Pachońskiego 8, 14, 14a, 16, 18"
105,"Szkoła Podstawowa Nr 21, Kraków Batalionu ""Skała"" AK 12",Powszechny,Nie,"Bliska, Bukietowa, Jordanowska, Na Chałupkach, Nad Sudołem 6, 8, 10, Nawigacyjna, Owsiana, Pachońskiego 2,2b, 4, 4a, 5, 6, 6a, Pękowicka (bez 77 i 204), Północna, Skrajna, Stelmachów parzyste 18 do 24, Tomkowicza, Vetulaniego, Wewnętrzna, Władysława Łokietka od 83 do 124, Wyki"
106,"Szkoła Podstawowa Nr 21, Kraków Batalionu ""Skała"" AK 12",Powszechny,Nie,"Krowoderskich Zuchów parzyste 12,14, 18, 20, Opolska"
107,"Szkoła Podstawowa Nr 21, Kraków Batalionu ""Skała"" AK 12",Powszechny,Nie,"Batalionu ""Skała"" AK, Krowoderskich Zuchów 23, 24, 25, 26, 28"
108,"Gimnazjum Nr 12, Kraków Kluczborska 3",Powszechny,Nie,"Kluczborska, Krowoderskich Zuchów 4,11,13,15, 15a,15c,17,19"
109,"Gimnazjum Nr 12, Kraków Kluczborska 3",Powszechny,Nie,"Krowoderskich Zuchów 3, 3 a, 5, 7, 9, Wybickiego 2"
110,"Gimnazjum Nr 12, Kraków Kluczborska 3",Powszechny,Nie,"Rusznikarska nieparzyste od 1 do 11, Władysława Łokietka nieparzyste od 47 do 59, Wybickiego 14, 16"
111,Gimnazjum nr 12 Kraków Kluczborska 3,Powszechny,Nie,"Rusznikarska 6, 8, 10, 10 b, 12, 12 a,12 b, 13,13b, 14, 14 a, 15, 16, 18, 20, 21, Rusznikarska - Deptak, Wybickiego 1, 1 b, 3, 3 a, 5, 10"
112,Szkoła Podstawowa nr 67 Kraków Kaczorówka 4,Powszechny,Nie,"Astrowa, Azaliowa, Chabrowa, Frycza, Gaik, Generała Paszkowskiego, Gospodarska, Gryczana, Jęczmienna, Jurajska, Kaczorówka, Konopna, Lniana, Maciejkowa, Miętowa, Na Budzyniu, Na Mostkach, Na Zielonki, Orlich Gniazd, Pękowicka 77 i 204, Potoczek, Poziomkowa, Skotnica, Waliszewskiego, Władysława Łokietka od 126, Zefirowa"
113,"Szkoła Podstawowa Nr 68, Kraków Porzeczkowa 2",Powszechny,Tak,"Arsenał, Banacha, Belwederczyków, Bibicka, Dożynkowa bez 61 , Dróżnicka, Głogowa, Górka Narodowa, Górnickiego parzyste od 28 i nieparzyste od 37, Koło Białuchy, Koralowa, Nowa Górka, Okulistów, Osiedle Witkowice Nowe, Porzeczkowa, Potockiego, Rysiewicza, Siewna parzyste od 52, 25 i 25 a, Suche Łąki, Turowiec, Urodzajna, Wądół, Wiitkowicka, Zielone Wzgórze"
114,"Szkoła Podstawowa Nr 68, Kraków Porzeczkowa 2",Powszechny,Tak,"Kuźnicy Kołłątajowskiej parzyste od 18 i nieparzyste od 17, Marczyńskiego, Natansona, Słomczyńskiego"
115,"Szkoła Podstawowa Nr 68, Kraków Porzeczkowa 2",Powszechny,Nie,"Aleja 29 Listopada od 161 do 214, 226, Arcybiskupa Felińskiego, Batowicka, Księdza Meiera, Kuźnicy Kołłątajowskiej parzyste od 2 do 16D i nieparzyste od 1 do 15C, Węgrzecka"
116,"VII Liceum Ogólnokształcące, Kraków Skarbińskiego 5",Powszechny,Nie,"Buszka, Bydgoska , Gramatyka, Lea parzyste od 46 do 100, Misjonarska, Nawojki 4 i od 6 do 8 oraz 23, 25, Piastowska nieparzyste od 47 do 51 , Rolnicza, Skarbińskiego"
117,"VII Liceum Ogólnokształcące, Kraków Skarbińskiego 5",Powszechny,Nie,"Armii Krajowej nieparzyste od 5 do 53,Bakałarzy, Brązownicza, Budryka , Hamernia 1, Kawiory, Konwisarzy, Miechowska, Mydlnicka nieparzyste, Nawojki 9, Odlewnicza (bez nr 1,3), Piastowska 22, 26,26a Pyjasa, Reymonta nieparzyste od 21, Rostafińskiego , Spiżowa, Tokarskiego , Toruńska"
118,VII Liceum Ogólnokształcące Kraków Skarbińskiego 5,Powszechny,Nie,"Chmiela, Lea nieparzyste od 93 do 121, Obopólna, Piastowska nieparzyste od 53 do 57, Smoluchowskiego, Warmijska"
119,VII Liceum Ogólnokształcące Kraków Skarbińskiego 5,Powszechny,Nie,"Kronikarza Galla nieparzyste od 15 do 23, Królewska parzyste od 90 do 94, Lea nieparzyste od 75 do 81, Staffa"
120,"Towarzystwo Sportowe ""Wisła"", Kraków Reymonta 22",Powszechny,Nie,"Akademicka, Aleja 3 Maja , Aleja Mickiewicza parzyste, Beniowskiego, Chodowieckiego, Cichy Kącik, Czarnowiejska parzyste od 18 do 84, Domeyki, Goetla, Igrców, Ingardena, Kadrówki, Oleandry, Olimpijska, Piastowska nieparzyste od 19 do 39a, Radwańskiego, Reymana, Reymonta parzyste od 4 do 44 i nieparzyste 1, 5, 7, 11, 15, 17, 19,19a, Tkacka"
121,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 1, Kraków Al. Kijowska 3",Powszechny,Tak,"Aleja Kijowska 3, 8, 10, Chocimska nieparzyste od 1 do 31 i parzyste od 4 do 32, Czarnowiejska nieparzyste od 73 do 103, Lea parzyste od 20 do 36 a, Ogrodniczek, Plac Nowowiejski, Spokojna, Urzędnicza parzyste od 2 do 30, Za Targiem"
122,"Zespół Szkół Ogólnokształcących Nr 51, Kraków Al. Kijowska 8",Powszechny,Nie,"Aleja Kijowska parzyste od 12 do 16 i nieparzyste od 9 do 13, Chocimska nieparzyste od 33 do 39 i 38, Kronikarza Galla parzyste od 18 do 24, Królewska parzyste od 56 do 88, Lea nieparzyste od 21a do 55, Nowowiejska nieparzyste od 29 do 37, parzyste od 20 do 32, Urzędnicza parzyste od 34 do 48"
123,"XXXI Liceum Ogólnokształcące, Kraków Zakątek 2",Powszechny,Nie,"Aleja Kijowska parzyste od 30 do 34, Bytomska, Kadecka 1, 4, 6, 8, 10, Kazimierza Wielkiego nieparzyste od 67 do 97 i parzyste od 108 do 144, Kronikarza Galla nieparzyste od 1 b do 11, Królewska nieparzyste od 61 do 69, Racławicka parzyste od 2 do 32 a, Zakątek od 1 do 3"
124,"XXXI Liceum Ogólnokształcące, Kraków Zakątek 2",Powszechny,Nie,"Czyżewskiego, Kazimierza Wielkiego nieparzyste od 103, Przeskok, Podchorążych 1, Siemieńskiego, Zakątek od 4 do 9, 11, 13"
125,"XXXI Liceum Ogólnokształcące, Kraków Zakątek 2",Powszechny,Nie,"Kazimierza Wielkiego parzyste od 58 do 104, Kronikarza Galla parzyste od 2 do 12, Królewska nieparzyste od 45 do 59, Nowowiejska od 1 do 16, Urzędnicza parzyste od 52a do 64"
126,"Szkoła Podstawowa Nr 34, Kraków Urzędnicza 65",Powszechny,Nie,"Aleja Grottgera parzyste od 2 do 66, Berenta, Biernackiego, Kazimierza Wielkiego nieparzyste od 1 do 61, Kościelna, Kujawska, Łobzowska 67, Plac Axentowicza 3, 5, 7, Racławicka nieparzyste od 1 do 21 , Sienkiewicza od 18 do 27, Urzędnicza 65 i 68, 68a , Wyspiańskiego, Zbrojów"
127,"Szkoła Podstawowa Nr 34, Kraków Urzędnicza 65",Powszechny,Nie,"Józefitów od 1 do 12, Kazimierza Wielkiego parzyste od 2 do 54a, Królewska nieparzyste od 1 do 43, Pomorska parzyste od 2 do 10 , Urzędnicza nieparzyste od 49 do 59"
128,"Samorządowy Ośrodek Psychologiczno - Pedagogiczny dla Dzieci Przedszkolnych, Kraków Mazowiecka 30a",Powszechny,Tak,"Aleja Grottgera 1, 3, 11, 11a,35, 37, Aleja Słowackiego parzyste od 24 do 36, Gzymsików, Mazowiecka parzyste od 2 do 46, Sienkiewicza parzyste od 30 do 34"
129,"Akademia Ekonomiczna - Instytut Towaroznawstwa, Kraków Sienkiewicza 4",Powszechny,Nie,"Aleja Słowackiego parzyste od 2 do 18a, Lenartowicza od 16 do 23, Łobzowska parzyste od 46 do 52, Plac Axentowicza 4, 6, Plac Inwalidów 6, 7, 8, Pomorska nieparzyste od 1 do 9, Sienkiewicza od 1 do 15"
130,"IX Liceum Ogólnokształcące, Kraków Czapińskiego 5",Powszechny,Nie,"Chopina parzyste od 20 do 38 i nieparzyste od 17 do 33, Czapińskiego, Czarnowiejska nieparzyste od 55 do 63, Konarskiego parzyste od 2 do 34, Lea parzyste od 12b do 18, Urzędnicza nieparzyste od 1 do 29"
131,"IX Liceum Ogólnokształcące, Kraków Czapińskiego 5",Powszechny,Nie,"Józefitów od 14 do 21, Konarskiego od 39 do 54, Królewska parzyste od 2 do 54, Lea nieparzyste od 5 do 19 a, Plac Inwalidów 3, 4, Urzędnicza nieparzyste od 35 do 47"
132,"Gimnazjum Nr 16, Kraków Konarskiego 2",Powszechny,Nie,"Chopina parzyste od 4 do 18 i nieparzyste od 1 do 13, Czarnowiejska nieparzyste od 41 do 51, Lea parzyste od 4 do 12 a, Karłowicza, Konarskiego nieparzyste od 1 do 37, Symfoniczna, Szymanowskiego"
133,"Urząd Miasta Krakowa, Kraków Lubelska 27",Powszechny,Tak,"Aleja Słowackiego parzyste od 38 do 66, Cieszyńska, Lubelska, Mazowiecka nieparzyste od 1 do 21, Prądnicka 4, Słomnicka, Śląska, Świętokrzyska, Wrocławska 8 i parzyste od 12 do 24"
134,"Biuro Studiów i Projektów Energetycznych ""Energoprojekt S.A."", Kraków Mazowiecka 21",Powszechny,Nie,"Oboźna, Racławicka 55, Składowa od 15, Władysława Łokietka od 1 do 32, Wrocławska nieparzyste od 11 do 55"
135,"Biuro Studiów i Projektów Energetycznych ""Energoprojekt S.A."", Kraków Mazowiecka 21",Powszechny,Nie,"Augustynka-Wichury, Friedleina, Kamienna 8, Odrowąża, Plater Emilii, Prądnicka parzyste od 8 do 26 i 9, Składowa od 1 do 14, Wrocławska nieparzyste od 5 do 9, Zbożowa"
136,"Szkoła Podstawowa Nr 36, Kraków Mazowiecka 70",Powszechny,Nie,"Kmieca 19, Litewska nieparzyste od 9 do 23, Mazowiecka nieparzyste od 23 do 39, Młynówka Królewska (bez 2), Wójtowska nieparzyste od 1 do 13, Wrocławska parzyste od 26 do 56"
137,"Szkoła Podstawowa Nr 36, Kraków Mazowiecka 70",Powszechny,Nie,"Kmieca (bez 19), Litewska parzyste od 20 do 34 i 66 i nieparzyste od 37 do 49, Mazowiecka nieparzyste od 41 do 55, Racławicka 39, 41, 47, Wójtowska 4, Wrocławska parzyste od 58 do 62"
138,"Gimnazjum Nr 17, Kraków Litewska 34",Powszechny,Nie,"Aleja Kijowska parzyste od 44 do 66, Mazowiecka nieparzyste od 113 do 131, Racławicka parzyste od 40 do 54, Wrocławska nieparzyste od 75 do 97 i parzyste od 64 do 76"
139,"Gimnazjum Nr 17, Kraków Litewska 34",Powszechny,Nie,"Aleja Kijowska nieparzyste od 29 do 61, Mazowiecka parzyste od 60 do 108, Młynówka Królewska 2, Racławicka 29, 31, Rzeczna, Wojskowa, Wrocławska 78, 78 a, 80"
140,"Szkoła Podstawowa Nr 50, Kraków Katowicka 28",Powszechny,Nie,"Boya-Żeleńskiego, Generała Wieniawy-Długoszowskiego 6,10, 22, Groszkowa, Katowicka, Księdza Truszkowskiego, Narcyzowa, Palmowa, Pasternik nieparzyste, Peipera, Pod Strzechą, Radzikowskiego Eljasza 166,168 i nieparzyste od 97, Tetmajera, Witkiewicza, Zielony Most od 4 do 12a, Żeleńskiego"
141,"Szkoła Podstawowa Nr 153, Kraków Na Błonie 15d",Powszechny,Nie,"Balicka nieparzyste od 1 do 53 i parzyste 12, 12 a, 12 b, 12 c,14a,14b, Na Błonie 1, 3, 3 a, 3 b, 3 c, 9 a, Zielony Most 2"
142,"Szkoła Podstawowa Nr 153, Kraków Na Błonie 15d",Powszechny,Nie,Armii Krajowej nieparzyste od 77 do 87
143,"Szkoła Podstawowa Nr 153, Kraków Na Błonie 15d",Powszechny,Nie,"Armii Krajowej nieparzyste 89, 93, Bronowicka 136, Jabłonkowska, Na Błonie 15, 15 a, 15 b, 15 c"
144,"Zespół Szkół Ogólnokształcących Nr 8, Kraków Na Błonie 15b",Powszechny,Nie,"Na Błonie 9, 11, 11 a, 13, 13 a, 13 b"
145,"Zespół Szkół Ogólnokształcących Nr 8, Kraków Na Błonie 15b",Powszechny,Nie,"Arciszewskiego, Balicka nieparzyste od 61 do 99 i parzyste od 40 do 102 a, Brzegowa, Bzymka-Strzałkowskiego, Filtrowa, Hamernia (bez 1), Justowska, Kowalskiego, Księdza Machaya, Kwiatkowskiego, Kuźnicza, Legendy, Lindego, Młynarskiego, Na Błonie 6, 10, 12, 14, 16, 19 i od 20 do 61B, Nad Zalewem (bez 1, 1 a,2e,4,4f,g,h,i,j,k,l s,8), Ochlewskiego,Odlewnicza 1,3, Olkuska, Orna, Pamiętna, Piwnika Ponurego, Popiela, Prystora, Przesmyk, Przyjemna, Rotmistrza Pileckiego, Strużeckiego, Trawiasta, Wiedeńska, Zarudawie, Zarzecze od 97 do 136"
146,"Szkoła Podstawowa Nr 138, Kraków Wierzyńskiego 3",Powszechny,Nie,"Balicka 116,116a,117, od 126, Barciszewskiego, Brzezińskiego, Brzozowskiego, Dolińskiego, Generała Wieniawy-Długoszowskiego (bez 6,10, i 22), Godlewskiego, Gradowa, Hemara, Kurozwęckiego, Majora Łupaszki, Na Nowinach, Profesora Spiczakowa, Profesora Myczkowskiego, Przy Młynówce , Wapiennik,Weryhy-Darowskiego, Wierzyńskiego, Wójcickiego, Zakliki z Mydlnik, Zaklucze, Zygmunta Starego"
147,"Szkoła Podstawowa Nr 93, Kraków Szlachtowskiego 31",Powszechny,Nie,"Altanowa, Bronowicka parzyste od 2 do 12 b, Jadwigi z Łobzowa, Krzywy Zaułek, Lea nieparzyste od 123 do 165, Młodej Polski,Niedziałkowskiego,Piastowska parzyste od 34 do 50, Rydla nieparzyste od 1 do 17, Staszczyka, Szlachtowskiego, Żelechowskiego"
148,Szkoła Podstawowa nr 93 Kraków Szlachtowskiego 31,Powszechny,Nie,"Bandtkiego od 20, Bronowicka 20, 38, 38 a, Cicha, Rydla parzyste od 2 do 24"
149,"Zespół Szkół Ogólnokształcących Nr 7, Kraków Złoty Róg 30",Powszechny,Nie,"Bronowicka nieparzyste od 5 do 69, Czeladnicza, Czepca 3, 9 a, 9 b, 9 c, 9 d, Głowackiego parzyste, Górna, Grenadierów, Halczyna, Kmietowicza, Krakusów, Rodakowskiego, Rydla nieparzyste od 21 do 53 i 26, 28, 42, Wallek-Walewskiego, Wjazdowa, Zaczarowane Koło, Złoty Róg od 1 do 23"
150,"Zespół Szkół Ogólnokształcących Nr 7, Kraków Złoty Róg 30",Powszechny,Nie,"Bronowicka nieparzyste od 71 do 139, Czepca parzyste od 2 do 20, Wernyhory, Złoty Róg od 25 do 54, 54a"
151,"Zespół Szkół Budowlanych Nr 1, Kraków Szablowskiego 1",Powszechny,Nie,"Drzymały, Kunickiego, Mysłakowskiego (bez 13), Przybyszewskiego od 15 do 53 ,61, 63, 65, 67, Sewera, Szablowskiego, Świętego Wojciecha, Wesele, Włościańska, Zarzecze parzyste od 2 do 90 i nieparzyste od 1 do 77"
152,"Zespół Szkół Budowlanych Nr 1, Kraków Szablowskiego 1",Powszechny,Nie,"Armii Krajowej 2, 6,8A, Kołowa, Mysłakowskiego 13, Lea parzyste od 110 do 244 i nieparzyste od 167 do 259, Piastowska parzyste 30,32, Przybyszewskiego 71"
153,"Centrum Kształcenia Praktycznego, Kraków Szablowskiego 1b",Powszechny,Tak,"Bandtkiego od 1 do 17, Bronowicka parzyste od 48 do 88, 90 i 104, Przybyszewskiego od 1 do 14 a, Sołtysa Dytmara, Stańczyka, Zapolskiej"
154,"Szkoła Podstawowa Nr 48, Kraków Księcia Józefa 337",Powszechny,Nie,"Aleja Konarowa, Aleja Wędrowników, Astronautów, Bagatela, Bażancia, Bielańska, Bielańskiego, Czajek, Czyżyków, Daleka, Dworna, Jemiołuszek, Kaszubska, Krucza, Księcia Józefa parzyste od 128 do 212 a, nieparzyste od 291 do 379, Maćkowa Góra, Marszałka Wolskiego, Mirowska, Na Górkach, Na Grabinach, Na Wirach,Niemena, Okrąg, Orla (bez150), Oszustowskiego, Pod Janem, Pod Szwedem, Przepiórcza, Puchalskiego, Puszczyków, Rędzina, Sępia, Skalna, Sokola, Zakręt, Zaogrodzie, Zaszkolna"
155,"Klub Kultury ""Chełm"", Kraków Chełmska 16",Powszechny,Nie,"Aleja Kasztanowa nieparzyste od 47 do 71B,73 i parzyste od 54 do 78, Baranieckiego, Becka 17, 17a, 19, 25,27, 29,54, 58,60 i nieparzyste od 41 do 57, Chełmska, Chwistka, Czecha, Grabowa parzyste, Junacka, Jurowicza, Królowej Jadwigi nieparzyste od 279 do 329, Malownicza, Marynarska,Nad Zalewem 2e,4,4f,g,h,i,j,k,l,s, Niezapominajek, Olszanicka od 1 do 9, Orla 150, Oświęcimska, Podłużna, Pod Stokiem, Przyszłości, Pylna, Rysi Stok, Rzepichy, Wilczy Stok, Wiosenna, Za Skłonem, Zakamycze, Zielony Dół"
156,"Publiczna Szkoła Podstawowa Sióstr Pijarek im. Św. Józefa Kalasencjusza, Kraków Korzeniaka 18",Powszechny,Nie,"Amazonek, Głogowiec, Insurekcji Kościuszkowskiej, Jagiełka, Jantarowa, Korzeniaka, Kosmowskiej, Krzyżówka, Księdza Skargi, Leśmiana, Majówny, Na Borach, Na Polankach, Nad Źródłem, Olszanicka od 10, Pod Skałą, Pod Szańcami, Podkamyk, Porzecze, Powstania Listopadowego, Powstania Styczniowego, Raczkiewicza, Stryjeńskiej,Szaserów, Wyżgi"
157,"Klub Kultury ""Przegorzały"", Kraków Kamedulska 70",Powszechny,Nie,"Borówczana, Bruzdowa, Cygańska, Dobrzyckiego, Gajówka, Herzoga, Jodłowa, Kamedulska, Kasprzyckiego, Koziarówka, Księcia Józefa nieparzyste od 115 b do 289 i parzyste od 84 do 120, Müncha, Muzyczki, Nietoperzy, Olchowa, Pajęcza, Przegorzalska, Rybna, Skibowa, Szyszko-Bohusza, Uboczna, Winowców, Zaskale, Żemaitisa, Żywiczna"
158,"Zespół Szkół Specjalnych Nr 4, Kraków Senatorska 9",Powszechny,Nie,"Borelowskiego-Lelewela 19, Kałuży, Łowiecka 3, 5, Rotmistrza Dunin-Wąsowicza 3, 5, 7, 9, 11, 19 nieparzyste od 41 do 49 i parzyste od 8 do 52, Stachowicza 3, 5, Syrokomli parzyste od 22 do 26, Ujejskiego nieparzyste od 1 do 15, Włóczków parzyste od 20 do 22"
159,"Zespół Szkół Specjalnych Nr 4, Kraków Senatorska 9",Powszechny,Nie,"Fałata 2, 2 a, 2 b, Filarecka, Kraszewskiego nieparzyste od 1 do 29 i parzyste od 2 do 16, Łowiecka 2, Prusa nieparzyste od 1 do 15, Salwatorska nieparzyste od 1 do 7 a, parzyste od 4 do 16, Senatorska nieparzyste od 1 do 21"
160,"Szkoła Podstawowa Nr 31, Kraków Prusa 18",Powszechny,Nie,"Aleja Marszałka Focha 14 i od 24 do 32, Fałata 4,4/I,4/II,4/III,4/2,4/3, 6 i nieparzyste od 3 do 13, Kraszewskiego parzyste od 22 do 36, Prusa nieparzyste od 17 do 39 i 28, 30, Salwatorska nieparzyste od 9 do 15, Wyczółkowskiego od 2 do 8"
161,"Szkoła Podstawowa Nr 31, Kraków Prusa 18",Powszechny,Nie,"Aleja Marszałka Focha 34, 38 b, nieparzyste od 35 do 39 c, Fałata 12,12d, 14, 14 a, Kasztelańska, Mlaskotów, Prusa parzyste od 2 do 18, Salwatorska parzyste od 18 do 22 i nieparzyste od 17 do 35, Senatorska nieparzyste od 23 do 43, Wyczółkowskiego parzyste od 10 do 14"
162,"Zespół Szkół Odzieżowych Nr 1, Kraków Syrokomli 21",Powszechny,Nie,"Aleja Krasińskiego parzyste od 4 do 32, Kościuszki 1, 3, Morawskiego parzyste od 10 do 12, Rotmistrza Dunin-Wąsowicza 2, 4, 6, Syrokomli nieparzyste od 1 do 25"
163,"Gimnazjum Nr 20, Kraków Senatorska 35",Powszechny,Nie,"Borelowskiego-Lelewela nieparzyste od 3 do 17, Kościuszki nieparzyste od 15 do 27, Morawskiego 5, Stachowicza parzyste od 2 do 14, Syrokomli parzyste od 10 do 20, Tatarska, Ujejskiego parzyste od 2 a do 12, Włóczków parzyste od 2 do 18 i 11 a"
164,"Gimnazjum Nr 20, Kraków Senatorska 35",Powszechny,Nie,"Borelowskiego-Lelewela parzyste od 2 do 24, Dojazdowa, Flisacka, Jaskółcza, Komorowskiego, Kościuszki parzyste od 18 do 86 i nieparzyste od 31 do 73, Plac Na Stawach, Senatorska parzyste od 2 do 26, Stachowicza nieparzyste od 13 do 17"
165,"Szkoła Podstawowa Nr 32, Kraków Królowej Jadwigi 78",Powszechny,Nie,"Aleja Małeckiego, Doktora Kudlińskiego, Doktora Owcy-Orwicza, Drożyna, Emaus (bez 51, 53, 55, 57), Fabijańskich, Gandhiego, Gryfity, Hofmana, Kopiec Kościuszki, Korzeniowskiego, Królowej Jadwigi nieparzyste od 1 do 153 c , parzyste od 4 do 184, Leszczynowa, Ludwika Węgierskiego, Malczewskiego nieparzyste od 3 do 11 i parzyste od 4 do 12, Odyńca, Panoramiczna, Piastowska parzyste od 2 do 10 i nieparzyste od 1 do 15, Przegon, Romera, Sawickiego, Słonecznikowa, Tondosa, Zaścianek, Zimorodków"
166,Szkoła Podstawowa nr 32 Kraków Królowej Jadwigi 78,Powszechny,Nie,"Aleja Waszyngtona, Anczyca, Benedyktowicza, Białe Wzgórze, Do Przystani, Gontyna, Kościuszki 88, Księcia Józefa parzyste od 6 do 54 a i nieparzyste od 1 do 115,Malczewskiego 47a, Polnych Kwiatów, Świętej Bronisławy, Ukryta, Wioślarska, Wodociągowa"
167,"Szkoła Podstawowa Nr 72, Kraków Al. Modrzewiowa 23",Powszechny,Nie,"28 Lipca 1943 roku, Bąkowskiego, Berberysowa, Bielaka, Borowego, Cedrowa, Ciechanowskiego, Czeremchowa, Emaus 51, 53, 55, 57, Koło Strzelnicy, Kopery, Korbutowej, Królowej Jadwigi parzyste od 186 do 246 i nieparzyste od 155 do 213, Krzywickiego, Lajkonika, Lisia, Mrówczana, Nasza, Pększyca-Grudzińskiego, Pod Sikornikiem, Pod Sulnikiem, Podłącze, Poniedziałkowy Dół, Poręba, Robla, Rogalskiego, Starowolska, Strzelnica, Wyrobka, Wyrwy Furgalskiego, Złota"
168,"Szkoła Podstawowa Nr 72, Kraków Al. Modrzewiowa 23",Powszechny,Nie,"Agrestowa, Aleja Kasy Oszczędności Miasta Krakowa, Aleja Do Kopca, Aleja Kasztanowa nieparzyste od 1 do 43 i parzyste od 4 do 52, Aleja Modrzewiowa ( bez 22), Aleja Panieńskich Skał, Aleja Pustelnika, Aleja Sosnowa, Aleja Żubrowa, Astronomów, Bodziszkowa, Cisowa, Dolina, Estreicherów, Grabowa nieparzyste, Halki, Jeleniowa, Jesionowa, Jontkowa Górka, Kogucia, Kopalina, Kotlarczyków, Krańcowa, Królowej Jadwigi parzyste od 248 do 330 i nieparzyste od 215 do 277c, Kukułcza, Leśna, Łazarskiego, Migdałowa, Morelowa, Na Wierzchowinach, Nad Zalewem 1, 1 a, 8, Nitscha, Sarnie Uroczysko, Świerkowa"
